Freq.	(V(V)/V(I))*-1000
3.22106879128347e+01	(2.65959675071346e+01dB,-7.18476322571982e+01°)
3.25087297385438e+01	(2.65236225948036e+01dB,-7.20023510408865e+01°)
3.28095293113123e+01	(2.64511511124301e+01dB,-7.21559109825941e+01°)
3.31131121482595e+01	(2.63785549386373e+01dB,-7.23083161944196e+01°)
3.34195040026118e+01	(2.63058359312115e+01dB,-7.24595708886064e+01°)
3.37287308658873e+01	(2.62329959271244e+01dB,-7.26096793742167e+01°)
3.40408189701005e+01	(2.61600367424976e+01dB,-7.27586460538961e+01°)
3.43557947899879e+01	(2.60869601726526e+01dB,-7.29064754205982e+01°)
3.46736850452536e+01	(2.60137679921109e+01dB,-7.30531720544381e+01°)
3.49945167028362e+01	(2.59404619546356e+01dB,-7.31987406196236e+01°)
3.53183169791962e+01	(2.58670437932645e+01dB,-7.33431858612439e+01°)
3.56451133426249e+01	(2.57935152203628e+01dB,-7.34865126023828e+01°)
3.59749335155747e+01	(2.57198779276656e+01dB,-7.36287257410394e+01°)
3.63078054770106e+01	(2.56461335863652e+01dB,-7.37698302472478e+01°)
3.66437574647838e+01	(2.55722838471513e+01dB,-7.39098311601848e+01°)
3.69828179780271e+01	(2.54983303402950e+01dB,-7.40487335853463e+01°)
3.73250157795726e+01	(2.54242746757502e+01dB,-7.41865426917679e+01°)
3.76703798983914e+01	(2.53501184432067e+01dB,-7.43232637092295e+01°)
3.80189396320566e+01	(2.52758632122226e+01dB,-7.44589019257277e+01°)
3.83707245492284e+01	(2.52015105322930e+01dB,-7.45934626846994e+01°)
3.87257644921623e+01	(2.51270619329694e+01dB,-7.47269513825177e+01°)
3.90840895792408e+01	(2.50525189239675e+01dB,-7.48593734659219e+01°)
3.94457302075284e+01	(2.49778829952902e+01dB,-7.49907344295862e+01°)
3.98107170553503e+01	(2.49031556173369e+01dB,-7.51210398136490e+01°)
4.01790810848946e+01	(2.48283382410252e+01dB,-7.52502952013374e+01°)
4.05508535448390e+01	(2.47534322979316e+01dB,-7.53785062166703e+01°)
4.09260659730017e+01	(2.46784392004174e+01dB,-7.55056785221400e+01°)
4.13047501990167e+01	(2.46033603417668e+01dB,-7.56318178164616e+01°)
4.16869383470342e+01	(2.45281970963250e+01dB,-7.57569298324492e+01°)
4.20726628384450e+01	(2.44529508196419e+01dB,-7.58810203348252e+01°)
4.24619563946319e+01	(2.43776228486165e+01dB,-7.60040951181376e+01°)
4.28548520397446e+01	(2.43022145016533e+01dB,-7.61261600047418e+01°)
4.32513831035015e+01	(2.42267270788109e+01dB,-7.62472208427698e+01°)
4.36515832240173e+01	(2.41511618619453e+01dB,-7.63672835041939e+01°)
4.40554863506560e+01	(2.40755201148884e+01dB,-7.64863538829254e+01°)
4.44631267469116e+01	(2.39998030835950e+01dB,-7.66044378929588e+01°)
4.48745389933139e+01	(2.39240119962949e+01dB,-7.67215414664939e+01°)
4.52897579903628e+01	(2.38481480636804e+01dB,-7.68376705522477e+01°)
4.57088189614882e+01	(2.37722124790488e+01dB,-7.69528311137128e+01°)
4.61317574560387e+01	(2.36962064184863e+01dB,-7.70670291274237e+01°)
4.65586093522966e+01	(2.36201310410219e+01dB,-7.71802705813208e+01°)
4.69894108605223e+01	(2.35439874888008e+01dB,-7.72925614732107e+01°)
4.74241985260252e+01	(2.34677768872639e+01dB,-7.74039078091044e+01°)
4.78630092322646e+01	(2.33915003453090e+01dB,-7.75143156017899e+01°)
4.83058802039780e+01	(2.33151589554651e+01dB,-7.76237908693180e+01°)
4.87528490103394e+01	(2.32387537940696e+01dB,-7.77323396335416e+01°)
4.92039535681459e+01	(2.31622859214381e+01dB,-7.78399679187310e+01°)
4.96592321450344e+01	(2.30857563820476e+01dB,-7.79466817502247e+01°)
5.01187233627281e+01	(2.30091662046961e+01dB,-7.80524871530913e+01°)
5.05824662003123e+01	(2.29325164026937e+01dB,-7.81573901508250e+01°)
5.10504999975415e+01	(2.28558079740208e+01dB,-7.82613967640998e+01°)
5.15228644581765e+01	(2.27790419015285e+01dB,-7.83645130095793e+01°)
5.19995996533525e+01	(2.27022191530786e+01dB,-7.84667448987237e+01°)
5.24807460249782e+01	(2.26253406817631e+01dB,-7.85680984366125e+01°)
5.29663443891667e+01	(2.25484074260460e+01dB,-7.86685796208660e+01°)
5.34564359396981e+01	(2.24714203099432e+01dB,-7.87681944405524e+01°)
5.39510622515137e+01	(2.23943802432064e+01dB,-7.88669488751617e+01°)
5.44502652842431e+01	(2.23172881215041e+01dB,-7.89648488935229e+01°)
5.49540873857634e+01	(2.22401448265736e+01dB,-7.90619004529450e+01°)
5.54625712957921e+01	(2.21629512264111e+01dB,-7.91581094981229e+01°)
5.59757601495120e+01	(2.20857081754409e+01dB,-7.92534819603311e+01°)
5.64936974812313e+01	(2.20084165146784e+01dB,-7.93480237564405e+01°)
5.70164272280758e+01	(2.19310770719271e+01dB,-7.94417407881435e+01°)
5.75439937337167e+01	(2.18536906619157e+01dB,-7.95346389410532e+01°)
5.80764417521323e+01	(2.17762580864916e+01dB,-7.96267240838992e+01°)
5.86138164514039e+01	(2.16987801347748e+01dB,-7.97180020677922e+01°)
5.91561634175485e+01	(2.16212575833437e+01dB,-7.98084787254487e+01°)
5.97035286583848e+01	(2.15436911963812e+01dB,-7.98981598704520e+01°)
6.02559586074369e+01	(2.14660817258624e+01dB,-7.99870512965507e+01°)
6.08135001278729e+01	(2.13884299117042e+01dB,-8.00751587770247e+01°)
6.13762005164806e+01	(2.13107364819214e+01dB,-8.01624880639667e+01°)
6.19441075076793e+01	(2.12330021528205e+01dB,-8.02490448877192e+01°)
6.25172692775698e+01	(2.11552276291271e+01dB,-8.03348349562434e+01°)
6.30957344480205e+01	(2.10774136041654e+01dB,-8.04198639545234e+01°)
6.36795520907928e+01	(2.09995607600094e+01dB,-8.05041375440220e+01°)
6.42687717317032e+01	(2.09216697676454e+01dB,-8.05876613621580e+01°)
6.48634433548251e+01	(2.08437412871302e+01dB,-8.06704410217878e+01°)
6.54636174067288e+01	(2.07657759677345e+01dB,-8.07524821106699e+01°)
6.60693448007609e+01	(2.06877744481116e+01dB,-8.08337901910597e+01°)
6.66806769213635e+01	(2.06097373564345e+01dB,-8.09143707991841e+01°)
6.72976656284331e+01	(2.05316653105647e+01dB,-8.09942294448770e+01°)
6.79203632617198e+01	(2.04535589181719e+01dB,-8.10733716110903e+01°)
6.85488226452675e+01	(2.03754187769258e+01dB,-8.11518027535605e+01°)
6.91830970918950e+01	(2.02972454746120e+01dB,-8.12295283004037e+01°)
6.98232404077185e+01	(2.02190395892650e+01dB,-8.13065536517390e+01°)
7.04693068967161e+01	(2.01408016893512e+01dB,-8.13828841793631e+01°)
7.11213513653343e+01	(2.00625323338828e+01dB,-8.14585252264264e+01°)
7.17794291271376e+01	(1.99842320725641e+01dB,-8.15334821071054e+01°)
7.24435960075005e+01	(1.99059014459367e+01dB,-8.16077601063104e+01°)
7.31139083483432e+01	(1.98275409855131e+01dB,-8.16813644794205e+01°)
7.37904230129116e+01	(1.97491512139054e+01dB,-8.17543004519946e+01°)
7.44731973906004e+01	(1.96707326449673e+01dB,-8.18265732195249e+01°)
7.51622894018221e+01	(1.95922857839482e+01dB,-8.18981879472380e+01°)
7.58577575029200e+01	(1.95138111275694e+01dB,-8.19691497698020e+01°)
7.65596606911272e+01	(1.94353091642182e+01dB,-8.20394637911784e+01°)
7.72680585095719e+01	(1.93567803740258e+01dB,-8.21091350844030e+01°)
7.79830110523275e+01	(1.92782252290317e+01dB,-8.21781686913940e+01°)
7.87045789695115e+01	(1.91996441932785e+01dB,-8.22465696227870e+01°)
7.94328234724298e+01	(1.91210377229602e+01dB,-8.23143428577845e+01°)
8.01678063387696e+01	(1.90424062665307e+01dB,-8.23814933440052e+01°)
8.09095899178400e+01	(1.89637502648260e+01dB,-8.24480259973184e+01°)
8.16582371358610e+01	(1.88850701511910e+01dB,-8.25139457017747e+01°)
8.24138115013020e+01	(1.88063663515875e+01dB,-8.25792573094421e+01°)
8.31763771102689e+01	(1.87276392847194e+01dB,-8.26439656403136e+01°)
8.39459986519416e+01	(1.86488893621469e+01dB,-8.27080754822383e+01°)
8.47227414140615e+01	(1.85701169883830e+01dB,-8.27715915907903e+01°)
8.55066712884702e+01	(1.84913225610385e+01dB,-8.28345186892414e+01°)
8.62978547766990e+01	(1.84125064708967e+01dB,-8.28968614684663e+01°)
8.70963589956100e+01	(1.83336691020490e+01dB,-8.29586245868882e+01°)
8.79022516830904e+01	(1.82548108319904e+01dB,-8.30198126704396e+01°)
8.87156012037981e+01	(1.81759320317240e+01dB,-8.30804303125132e+01°)
8.95364765549614e+01	(1.80970330658717e+01dB,-8.31404820739398e+01°)
9.03649473722322e+01	(1.80181142927797e+01dB,-8.31999724829446e+01°)
9.12010839355931e+01	(1.79391760646035e+01dB,-8.32589060351599e+01°)
9.20449571753192e+01	(1.78602187274367e+01dB,-8.33172871935971e+01°)
9.28966386779958e+01	(1.77812426213793e+01dB,-8.33751203886286e+01°)
9.37562006925902e+01	(1.77022480806519e+01dB,-8.34324100180244e+01°)
9.46237161365815e+01	(1.76232354337010e+01dB,-8.34891604469569e+01°)
9.54992586021458e+01	(1.75442050032714e+01dB,-8.35453760079982e+01°)
9.63829023623993e+01	(1.74651571065127e+01dB,-8.36010610011555e+01°)
9.72747223776988e+01	(1.73860920550696e+01dB,-8.36562196939068e+01°)
9.81747943020007e+01	(1.73070101551808e+01dB,-8.37108563212346e+01°)
9.90831944892791e+01	(1.72279117077492e+01dB,-8.37649750856539e+01°)
1.00000000000002e+02	(1.71487970084446e+01dB,-8.38185801572746e+01°)
1.00925288607671e+02	(1.70696663477945e+01dB,-8.38716756738426e+01°)
1.01859138805414e+02	(1.69905200112590e+01dB,-8.39242657408117e+01°)
1.02801629812650e+02	(1.69113582793059e+01dB,-8.39763544313656e+01°)
1.03752841581804e+02	(1.68321814275282e+01dB,-8.40279457865489e+01°)
1.04712854805092e+02	(1.67529897266985e+01dB,-8.40790438152724e+01°)
1.05681750921368e+02	(1.66737834428366e+01dB,-8.41296524944238e+01°)
1.06659612123028e+02	(1.65945628373361e+01dB,-8.41797757689396e+01°)
1.07646521362986e+02	(1.65153281670001e+01dB,-8.42294175518887e+01°)
1.08642562361709e+02	(1.64360796841340e+01dB,-8.42785817245503e+01°)
1.09647819614321e+02	(1.63568176366211e+01dB,-8.43272721365114e+01°)
1.10662378397769e+02	(1.62775422679971e+01dB,-8.43754926057645e+01°)
1.11686324778059e+02	(1.61982538175284e+01dB,-8.44232469187941e+01°)
1.12719745617554e+02	(1.61189525202664e+01dB,-8.44705388306847e+01°)
1.13762728582346e+02	(1.60396386071449e+01dB,-8.45173720652183e+01°)
1.14815362149691e+02	(1.59603123050220e+01dB,-8.45637503149783e+01°)
1.15877735615516e+02	(1.58809738367794e+01dB,-8.46096772414787e+01°)
1.16949939101990e+02	(1.58016234213755e+01dB,-8.46551564752560e+01°)
1.18032063565176e+02	(1.57222612738994e+01dB,-8.47001916159767e+01°)
1.19124200802741e+02	(1.56428876056590e+01dB,-8.47447862325698e+01°)
1.20226443461744e+02	(1.55635026242350e+01dB,-8.47889438633469e+01°)
1.21338885046501e+02	(1.54841065335484e+01dB,-8.48326680161141e+01°)
1.22461619926508e+02	(1.54046995339136e+01dB,-8.48759621682951e+01°)
1.23594743344454e+02	(1.53252818221222e+01dB,-8.49188297670717e+01°)
1.24738351424298e+02	(1.52458535914758e+01dB,-8.49612742294756e+01°)
1.25892541179420e+02	(1.51664150318786e+01dB,-8.50032989425661e+01°)
1.27057410520857e+02	(1.50869663298383e+01dB,-8.50449072635083e+01°)
1.28233058265606e+02	(1.50075076686151e+01dB,-8.50861025197587e+01°)
1.29419584145002e+02	(1.49280392281948e+01dB,-8.51268880091505e+01°)
1.30617088813188e+02	(1.48485611853874e+01dB,-8.51672670000600e+01°)
1.31825673855644e+02	(1.47690737138639e+01dB,-8.52072427315240e+01°)
1.33045441797813e+02	(1.46895769842322e+01dB,-8.52468184133984e+01°)
1.34276496113790e+02	(1.46100711640690e+01dB,-8.52859972264715e+01°)
1.35518941235107e+02	(1.45305564179871e+01dB,-8.53247823226202e+01°)
1.36772882559589e+02	(1.44510329076662e+01dB,-8.53631768249429e+01°)
1.38038426460292e+02	(1.43715007919314e+01dB,-8.54011838279060e+01°)
1.39315680294534e+02	(1.42919602267975e+01dB,-8.54388063974941e+01°)
1.40604752412995e+02	(1.42124113655003e+01dB,-8.54760475713327e+01°)
1.41905752168913e+02	(1.41328543585580e+01dB,-8.55129103588422e+01°)
1.43218789927358e+02	(1.40532893538079e+01dB,-8.55493977413855e+01°)
1.44543977074597e+02	(1.39737164964780e+01dB,-8.55855126724062e+01°)
1.45881426027539e+02	(1.38941359292134e+01dB,-8.56212580775893e+01°)
1.47231250243276e+02	(1.38145477921182e+01dB,-8.56566368549808e+01°)
1.48593564228705e+02	(1.37349522228132e+01dB,-8.56916518751553e+01°)
1.49968483550242e+02	(1.36553493564758e+01dB,-8.57263059813617e+01°)
1.51356124843625e+02	(1.35757393258797e+01dB,-8.57606019896594e+01°)
1.52756605823812e+02	(1.34961222614269e+01dB,-8.57945426890547e+01°)
1.54170045294960e+02	(1.34164982912274e+01dB,-8.58281308416893e+01°)
1.55596563160512e+02	(1.33368675410903e+01dB,-8.58613691829474e+01°)
1.57036280433360e+02	(1.32572301345986e+01dB,-8.58942604216176e+01°)
1.58489319246116e+02	(1.31775861931342e+01dB,-8.59268072400325e+01°)
1.59955802861471e+02	(1.30979358359285e+01dB,-8.59590122942386e+01°)
1.61435855682653e+02	(1.30182791800859e+01dB,-8.59908782141180e+01°)
1.62929603263977e+02	(1.29386163406336e+01dB,-8.60224076035411e+01°)
1.64437172321498e+02	(1.28589474305476e+01dB,-8.60536030405227e+01°)
1.65958690743761e+02	(1.27792725608033e+01dB,-8.60844670773609e+01°)
1.67494287602649e+02	(1.26995918403895e+01dB,-8.61150022407815e+01°)
1.69044093164331e+02	(1.26199053763822e+01dB,-8.61452110321025e+01°)
1.70608238900317e+02	(1.25402132739259e+01dB,-8.61750959273516e+01°)
1.72186857498606e+02	(1.24605156363182e+01dB,-8.62046593774238e+01°)
1.73780082874943e+02	(1.23808125650098e+01dB,-8.62339038082285e+01°)
1.75388050184181e+02	(1.23011041596480e+01dB,-8.62628316208441e+01°)
1.77010895831747e+02	(1.22213905181266e+01dB,-8.62914451916408e+01°)
1.78648757485210e+02	(1.21416717365769e+01dB,-8.63197468724356e+01°)
1.80301774085962e+02	(1.20619479094357e+01dB,-8.63477389906251e+01°)
