Freq.	(V(v)/(-V(I)))*1000
8.70963589956078e+01	(6.00085974572265e+01dB,3.83110742931046e-03°)
8.91250938133743e+01	(6.00085974595778e+01dB,3.92034538407046e-03°)
9.12010839355907e+01	(6.00085974620408e+01dB,4.01166195500351e-03°)
9.33254300796988e+01	(6.00085974646203e+01dB,4.10510556450914e-03°)
9.54992586021433e+01	(6.00085974673209e+01dB,4.20072575453424e-03°)
9.77237220955808e+01	(6.00085974701487e+01dB,4.29857322425389e-03°)
9.99999999999997e+01	(6.00085974731094e+01dB,4.39869985410950e-03°)
1.02329299228075e+02	(6.00085974762099e+01dB,4.50115873285937e-03°)
1.04712854805090e+02	(6.00085974794564e+01dB,4.60600418464819e-03°)
1.07151930523760e+02	(6.00085974828560e+01dB,4.71329180264212e-03°)
1.09647819614318e+02	(6.00085974864165e+01dB,4.82307846790087e-03°)
1.12201845430196e+02	(6.00085974901440e+01dB,4.93542239328183e-03°)
1.14815362149688e+02	(6.00085974940474e+01dB,5.05038314490484e-03°)
1.17489755493953e+02	(6.00085974981344e+01dB,5.16802167697283e-03°)
1.20226443461741e+02	(6.00085975024149e+01dB,5.28840036067097e-03°)
1.23026877081238e+02	(6.00085975068961e+01dB,5.41158302331816e-03°)
1.25892541179416e+02	(6.00085975115897e+01dB,5.53763498074098e-03°)
1.28824955169313e+02	(6.00085975165030e+01dB,5.66662306317299e-03°)
1.31825673855640e+02	(6.00085975216487e+01dB,5.79861566442522e-03°)
1.34896288259165e+02	(6.00085975270367e+01dB,5.93368276831125e-03°)
1.38038426460288e+02	(6.00085975326789e+01dB,6.07189598819792e-03°)
1.41253754462275e+02	(6.00085975385872e+01dB,6.21332860693203e-03°)
1.44543977074592e+02	(6.00085975447736e+01dB,6.35805561453161e-03°)
1.47910838816820e+02	(6.00085975512517e+01dB,6.50615374667247e-03°)
1.51356124843620e+02	(6.00085975580350e+01dB,6.65770152629632e-03°)
1.54881661891248e+02	(6.00085975651375e+01dB,6.81277930652677e-03°)
1.58489319246111e+02	(6.00085975725759e+01dB,6.97146931206262e-03°)
1.62181009735892e+02	(6.00085975803642e+01dB,7.13385568188537e-03°)
1.65958690743755e+02	(6.00085975885196e+01dB,7.30002451551042e-03°)
1.69824365246174e+02	(6.00085975970594e+01dB,7.47006391719373e-03°)
1.73780082874937e+02	(6.00085976060011e+01dB,7.64406404492740e-03°)
1.77827941003892e+02	(6.00085976153647e+01dB,7.82211715510896e-03°)
1.81970085860998e+02	(6.00085976251697e+01dB,8.00431765405281e-03°)
1.86208713666286e+02	(6.00085976354366e+01dB,8.19076214599142e-03°)
1.90546071796324e+02	(6.00085976461875e+01dB,8.38154948832605e-03°)
1.94984459975804e+02	(6.00085976574444e+01dB,8.57678083623271e-03°)
1.99526231496887e+02	(6.00085976692327e+01dB,8.77655970576677e-03°)
2.04173794466952e+02	(6.00085976815764e+01dB,8.98099202093018e-03°)
2.08929613085403e+02	(6.00085976945016e+01dB,9.19018617530556e-03°)
2.13796208950222e+02	(6.00085977080363e+01dB,9.40425308576123e-03°)
2.18776162394954e+02	(6.00085977222081e+01dB,9.62330625315242e-03°)
2.23872113856833e+02	(6.00085977370489e+01dB,9.84746182294853e-03°)
2.29086765276776e+02	(6.00085977525883e+01dB,1.00768386443473e-02°)
2.34422881531991e+02	(6.00085977688606e+01dB,1.03115583357563e-02°)
2.39883291901948e+02	(6.00085977858992e+01dB,1.05517453491865e-02°)
2.45470891568502e+02	(6.00085978037412e+01dB,1.07975270339359e-02°)
2.51188643150957e+02	(6.00085978224240e+01dB,1.10490337067462e-02°)
2.57039578276885e+02	(6.00085978419873e+01dB,1.13063987194535e-02°)
2.63026799189537e+02	(6.00085978624726e+01dB,1.15697585313407e-02°)
2.69153480392690e+02	(6.00085978839236e+01dB,1.18392527774080e-02°)
2.75422870333815e+02	(6.00085979063854e+01dB,1.21150243475576e-02°)
2.81838293126444e+02	(6.00085979299049e+01dB,1.23972194582729e-02°)
2.88403150312659e+02	(6.00085979545336e+01dB,1.26859877339430e-02°)
2.95120922666637e+02	(6.00085979803232e+01dB,1.29814822819515e-02°)
3.01995172040200e+02	(6.00085980073280e+01dB,1.32838597776809e-02°)
3.09029543251358e+02	(6.00085980356056e+01dB,1.35932805454559e-02°)
3.16227766016836e+02	(6.00085980652154e+01dB,1.39099086427543e-02°)
3.23593656929627e+02	(6.00085980962211e+01dB,1.42339119504868e-02°)
3.31131121482589e+02	(6.00085981286885e+01dB,1.45654622584590e-02°)
3.38844156139201e+02	(6.00085981626853e+01dB,1.49047353585662e-02°)
3.46736850452530e+02	(6.00085981982847e+01dB,1.52519111373191e-02°)
3.54813389233574e+02	(6.00085982355620e+01dB,1.56071736710017e-02°)
3.63078054770100e+02	(6.00085982745952e+01dB,1.59707113238486e-02°)
3.71535229097171e+02	(6.00085983154690e+01dB,1.63427168479394e-02°)
3.80189396320559e+02	(6.00085983582685e+01dB,1.67233874839230e-02°)
3.89045144994279e+02	(6.00085984030855e+01dB,1.71129250685888e-02°)
3.98107170553495e+02	(6.00085984500144e+01dB,1.75115361384429e-02°)
4.07380277804111e+02	(6.00085984991552e+01dB,1.79194320403439e-02°)
4.16869383470333e+02	(6.00085985506124e+01dB,1.83368290470077e-02°)
4.26579518801590e+02	(6.00085986044937e+01dB,1.87639484652423e-02°)
4.36515832240164e+02	(6.00085986609144e+01dB,1.92010167586187e-02°)
