Freq.	((V(v))/(-V(i)))*1000
4.46683592150961e+03	(2.41966637621969e+01dB,-8.97243353416148e+01°)
4.57088189614873e+03	(2.39966694779310e+01dB,-8.97179194426072e+01°)
4.67735141287196e+03	(2.37966754637773e+01dB,-8.97113544930132e+01°)
4.78630092322636e+03	(2.35966817315846e+01dB,-8.97046370470816e+01°)
4.89778819368444e+03	(2.33966882941204e+01dB,-8.96977635657742e+01°)
5.01187233627270e+03	(2.31966951677546e+01dB,-8.96907304075546e+01°)
5.12861383991362e+03	(2.29967023617907e+01dB,-8.96835338913216e+01°)
5.24807460249770e+03	(2.27967098964578e+01dB,-8.96761703140053e+01°)
5.37031796370250e+03	(2.25967177859659e+01dB,-8.96686357286083e+01°)
5.49540873857622e+03	(2.23967260475669e+01dB,-8.96609262971632e+01°)
5.62341325190346e+03	(2.21967347000865e+01dB,-8.96530379126047e+01°)
5.75439937337154e+03	(2.19967437601915e+01dB,-8.96449664556027e+01°)
5.88843655355586e+03	(2.17967532458885e+01dB,-8.96367077473726e+01°)
6.02559586074354e+03	(2.15967631775730e+01dB,-8.96282574768688e+01°)
6.16595001861479e+03	(2.13967735798725e+01dB,-8.96196112008790e+01°)
6.30957344480190e+03	(2.11967844709964e+01dB,-8.96107644589160e+01°)
6.45654229034652e+03	(2.09967958759473e+01dB,-8.96017126061126e+01°)
6.60693448007592e+03	(2.07968078171388e+01dB,-8.95924509659805e+01°)
6.76082975391978e+03	(2.05968203218437e+01dB,-8.95829747207968e+01°)
6.91830970918932e+03	(2.03968334153972e+01dB,-8.95732789219959e+01°)
7.07945784384134e+03	(2.01968471267738e+01dB,-8.95633585896121e+01°)
7.24435960074986e+03	(1.99968614843567e+01dB,-8.95532085333381e+01°)
7.41310241300913e+03	(1.97968765182817e+01dB,-8.95428235586069e+01°)
7.58577575029179e+03	(1.95968922606507e+01dB,-8.95321982388057e+01°)
7.76247116628687e+03	(1.93969087448138e+01dB,-8.95213271731345e+01°)
7.94328234724277e+03	(1.91969260058551e+01dB,-8.95102046327561e+01°)
8.12830516164094e+03	(1.89969440795587e+01dB,-8.94988250228033e+01°)
8.31763771102666e+03	(1.87969630054374e+01dB,-8.94871823985418e+01°)
8.51138038202371e+03	(1.85969828229083e+01dB,-8.94752708292019e+01°)
8.70963589956075e+03	(1.83970035755123e+01dB,-8.94630842119542e+01°)
8.91250938133740e+03	(1.81970253049160e+01dB,-8.94506162800927e+01°)
9.12010839355904e+03	(1.79970480580639e+01dB,-8.94378606884277e+01°)
9.33254300796985e+03	(1.77970718840635e+01dB,-8.94248109221899e+01°)
9.54992586021430e+03	(1.75970968322328e+01dB,-8.94114603749715e+01°)
9.77237220955805e+03	(1.73971229565705e+01dB,-8.93978022119299e+01°)
9.99999999999994e+03	(1.71971503122230e+01dB,-8.93838295412065e+01°)
1.02329299228075e+04	(1.69971789560212e+01dB,-8.93695352769375e+01°)
1.04712854805089e+04	(1.67972089497807e+01dB,-8.93549122540681e+01°)
1.07151930523760e+04	(1.65972403567329e+01dB,-8.93399530567262e+01°)
1.09647819614318e+04	(1.63972732437160e+01dB,-8.93246502029293e+01°)
1.12201845430196e+04	(1.61973076805067e+01dB,-8.93089960404311e+01°)
1.14815362149688e+04	(1.59973437396847e+01dB,-8.92929827067390e+01°)
1.17489755493952e+04	(1.57973814978932e+01dB,-8.92766022652126e+01°)
1.20226443461741e+04	(1.55974210355043e+01dB,-8.92598465790060e+01°)
1.23026877081237e+04	(1.53974624355676e+01dB,-8.92427073618010e+01°)
1.25892541179416e+04	(1.51975057866582e+01dB,-8.92251761858467e+01°)
1.28824955169313e+04	(1.49975511798812e+01dB,-8.92072443896180e+01°)
1.31825673855640e+04	(1.47975987120635e+01dB,-8.91889032115503e+01°)
1.34896288259164e+04	(1.45976484837842e+01dB,-8.91701437402144e+01°)
1.38038426460288e+04	(1.43977006001113e+01dB,-8.91509568511101e+01°)
1.41253754462274e+04	(1.41977551720777e+01dB,-8.91313332642918e+01°)
1.44543977074592e+04	(1.39978123151920e+01dB,-8.91112635437386e+01°)
1.47910838816820e+04	(1.37978721501213e+01dB,-8.90907380982334e+01°)
1.51356124843620e+04	(1.35979348042456e+01dB,-8.90697471321485e+01°)
1.54881661891247e+04	(1.33980004095285e+01dB,-8.90482807346391e+01°)
1.58489319246110e+04	(1.31980691058741e+01dB,-8.90263287603442e+01°)
1.62181009735892e+04	(1.29981410381289e+01dB,-8.90038809652690e+01°)
1.65958690743755e+04	(1.27982163590032e+01dB,-8.89809268812748e+01°)
1.69824365246173e+04	(1.25982952278528e+01dB,-8.89574559118948e+01°)
1.73780082874936e+04	(1.23983778120703e+01dB,-8.89334573263968e+01°)
1.77827941003891e+04	(1.21984642861222e+01dB,-8.89089201660866e+01°)
1.81970085860997e+04	(1.19985548331157e+01dB,-8.88838333445445e+01°)
1.86208713666285e+04	(1.17986496451166e+01dB,-8.88581856581021e+01°)
1.90546071796323e+04	(1.15987489224947e+01dB,-8.88319656971468e+01°)
1.94984459975803e+04	(1.13988528760459e+01dB,-8.88051619620964e+01°)
1.99526231496887e+04	(1.11989617252656e+01dB,-8.87777627656934e+01°)
2.04173794466951e+04	(1.09990757005032e+01dB,-8.87497562971168e+01°)
2.08929613085402e+04	(1.07991950432996e+01dB,-8.87211306569901e+01°)
2.13796208950222e+04	(1.05993200060649e+01dB,-8.86918737843222e+01°)
2.18776162394954e+04	(1.03994508530069e+01dB,-8.86619735419878e+01°)
2.23872113856832e+04	(1.01995878611907e+01dB,-8.86314176556450e+01°)
2.29086765276776e+04	(9.99973132037189e+00dB,-8.86001937933626e+01°)
2.34422881531990e+04	(9.79988153365331e+00dB,-8.85682895409863e+01°)
2.39883291901947e+04	(9.60003881913764e+00dB,-8.85356924138137e+01°)
2.45470891568501e+04	(9.40020350918943e+00dB,-8.85023898709320e+01°)
2.51188643150956e+04	(9.20037595152957e+00dB,-8.84683693386944e+01°)
2.57039578276884e+04	(9.00055651109887e+00dB,-8.84336182642842e+01°)
2.63026799189536e+04	(8.80074556911826e+00dB,-8.83981240673533e+01°)
2.69153480392690e+04	(8.60094352496348e+00dB,-8.83618741875072e+01°)
2.75422870333815e+04	(8.40115079688993e+00dB,-8.83248561270809e+01°)
2.81838293126443e+04	(8.20136782230706e+00dB,-8.82870574915207e+01°)
2.88403150312658e+04	(8.00159505945889e+00dB,-8.82484659387978e+01°)
2.95120922666636e+04	(7.80183298766291e+00dB,-8.82090693040524e+01°)
3.01995172040199e+04	(7.60208210907560e+00dB,-8.81688555778703e+01°)
3.09029543251357e+04	(7.40234294886382e+00dB,-8.81278129515436e+01°)
3.16227766016835e+04	(7.20261605726133e+00dB,-8.80859298780927e+01°)
3.23593656929626e+04	(7.00290200949268e+00dB,-8.80431950860438e+01°)
3.31131121482588e+04	(6.80320140798576e+00dB,-8.79995976543501e+01°)
3.38844156139200e+04	(6.60351488333841e+00dB,-8.79551270271274e+01°)
3.46736850452529e+04	(6.40384309540866e+00dB,-8.79097731241873e+01°)
